world_rank,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,year
2.000000000000000000e+00,9.770000000000000284e+01,5.460000000000000142e+01,9.800000000000000000e+01,9.990000000000000568e+01,8.370000000000000284e+01,9.600000000000000000e+01,2.243000000000000000e+03,6.900000000000000355e+00,2.011000000000000000e+03
3.000000000000000000e+00,9.779999999999999716e+01,8.229999999999999716e+01,9.140000000000000568e+01,9.990000000000000568e+01,8.750000000000000000e+01,9.559999999999999432e+01,1.107400000000000000e+04,9.000000000000000000e+00,2.011000000000000000e+03
4.000000000000000000e+00,9.829999999999999716e+01,2.950000000000000000e+01,9.809999999999999432e+01,9.920000000000000284e+01,6.429999999999999716e+01,9.429999999999999716e+01,1.559600000000000000e+04,7.799999999999999822e+00,2.011000000000000000e+03
5.000000000000000000e+00,9.090000000000000568e+01,7.029999999999999716e+01,9.540000000000000568e+01,9.990000000000000568e+01,5.000000000000000000e+01,9.420000000000000284e+01,7.929000000000000000e+03,8.400000000000000355e+00,2.011000000000000000e+03
6.000000000000000000e+00,9.050000000000000000e+01,7.770000000000000284e+01,9.409999999999999432e+01,9.400000000000000000e+01,5.700000000000000000e+01,9.120000000000000284e+01,1.881200000000000000e+04,1.180000000000000071e+01,2.011000000000000000e+03
6.000000000000000000e+00,8.820000000000000284e+01,7.720000000000000284e+01,9.390000000000000568e+01,9.509999999999999432e+01,7.350000000000000000e+01,9.120000000000000284e+01,1.991900000000000000e+04,1.159999999999999964e+01,2.011000000000000000e+03
8.000000000000000000e+00,8.420000000000000284e+01,3.960000000000000142e+01,9.929999999999999716e+01,9.779999999999999716e+01,5.000000000000000000e+01,9.109999999999999432e+01,3.618600000000000000e+04,1.639999999999999858e+01,2.011000000000000000e+03
9.000000000000000000e+00,8.920000000000000284e+01,9.000000000000000000e+01,9.450000000000000000e+01,8.829999999999999716e+01,9.290000000000000568e+01,9.059999999999999432e+01,1.506000000000000000e+04,1.169999999999999929e+01,2.011000000000000000e+03
1.000000000000000000e+01,9.209999999999999432e+01,5.920000000000000284e+01,8.970000000000000284e+01,9.150000000000000000e+01,5.000000000000000000e+01,8.950000000000000000e+01,1.175100000000000000e+04,4.400000000000000355e+00,2.011000000000000000e+03
1.100000000000000000e+01,8.300000000000000000e+01,4.810000000000000142e+01,9.290000000000000568e+01,9.320000000000000284e+01,5.000000000000000000e+01,8.770000000000000284e+01,3.820600000000000000e+04,1.030000000000000071e+01,2.011000000000000000e+03
1.200000000000000000e+01,7.909999999999999432e+01,6.279999999999999716e+01,8.790000000000000568e+01,9.690000000000000568e+01,5.000000000000000000e+01,8.690000000000000568e+01,1.422100000000000000e+04,6.900000000000000355e+00,2.011000000000000000e+03
1.300000000000000000e+01,8.090000000000000568e+01,5.850000000000000000e+01,8.920000000000000284e+01,9.229999999999999716e+01,1.000000000000000000e+02,8.640000000000000568e+01,1.512800000000000000e+04,3.600000000000000089e+00,2.011000000000000000e+03
1.400000000000000000e+01,8.220000000000000284e+01,6.239999999999999858e+01,8.879999999999999716e+01,8.809999999999999432e+01,3.470000000000000284e+01,8.390000000000000568e+01,2.142400000000000000e+04,1.019999999999999929e+01,2.011000000000000000e+03
1.500000000000000000e+01,7.750000000000000000e+01,9.370000000000000284e+01,8.779999999999999716e+01,8.309999999999999432e+01,5.000000000000000000e+01,8.340000000000000568e+01,1.817800000000000000e+04,1.469999999999999929e+01,2.011000000000000000e+03
1.500000000000000000e+01,8.390000000000000568e+01,5.329999999999999716e+01,8.909999999999999432e+01,8.409999999999999432e+01,5.960000000000000142e+01,8.340000000000000568e+01,4.178600000000000000e+04,9.000000000000000000e+00,2.011000000000000000e+03
1.900000000000000000e+01,7.179999999999999716e+01,3.289999999999999858e+01,8.270000000000000284e+01,9.359999999999999432e+01,4.370000000000000284e+01,7.950000000000000000e+01,2.037600000000000000e+04,6.500000000000000000e+00,2.011000000000000000e+03
2.000000000000000000e+01,7.029999999999999716e+01,3.910000000000000142e+01,7.929999999999999716e+01,9.570000000000000284e+01,5.370000000000000284e+01,7.929999999999999716e+01,1.188500000000000000e+04,1.309999999999999964e+01,2.011000000000000000e+03
2.100000000000000000e+01,6.840000000000000568e+01,9.140000000000000568e+01,7.140000000000000568e+01,9.609999999999999432e+01,5.650000000000000000e+01,7.920000000000000284e+01,1.983500000000000000e+04,1.760000000000000142e+01,2.011000000000000000e+03
2.200000000000000000e+01,7.400000000000000000e+01,9.079999999999999716e+01,8.159999999999999432e+01,8.059999999999999432e+01,3.900000000000000000e+01,7.840000000000000568e+01,2.660700000000000000e+04,1.069999999999999929e+01,2.011000000000000000e+03
2.300000000000000000e+01,6.820000000000000284e+01,4.900000000000000000e+01,7.709999999999999432e+01,9.590000000000000568e+01,3.279999999999999716e+01,7.800000000000000000e+01,4.402000000000000000e+04,1.180000000000000071e+01,2.011000000000000000e+03
2.400000000000000000e+01,6.679999999999999716e+01,4.939999999999999858e+01,7.150000000000000000e+01,9.229999999999999716e+01,1.000000000000000000e+02,7.650000000000000000e+01,1.517200000000000000e+04,4.799999999999999822e+00,2.011000000000000000e+03
2.500000000000000000e+01,6.450000000000000000e+01,6.050000000000000000e+01,6.879999999999999716e+01,9.529999999999999716e+01,5.000000000000000000e+01,7.590000000000000568e+01,1.833400000000000000e+04,1.380000000000000071e+01,2.011000000000000000e+03
2.700000000000000000e+01,6.790000000000000568e+01,7.320000000000000284e+01,7.259999999999999432e+01,8.320000000000000284e+01,9.509999999999999432e+01,7.529999999999999716e+01,1.996700000000000000e+04,2.010000000000000142e+01,2.011000000000000000e+03
2.800000000000000000e+01,6.950000000000000000e+01,3.260000000000000142e+01,6.250000000000000000e+01,9.650000000000000000e+01,1.000000000000000000e+02,7.509999999999999432e+01,3.055000000000000000e+03,1.009999999999999964e+01,2.011000000000000000e+03
2.900000000000000000e+01,5.660000000000000142e+01,6.429999999999999716e+01,6.800000000000000000e+01,9.879999999999999716e+01,8.979999999999999716e+01,7.500000000000000000e+01,2.202000000000000000e+04,2.730000000000000071e+01,2.011000000000000000e+03
3.000000000000000000e+01,6.509999999999999432e+01,9.329999999999999716e+01,7.479999999999999716e+01,8.029999999999999716e+01,4.260000000000000142e+01,7.379999999999999716e+01,5.015200000000000000e+04,1.760000000000000142e+01,2.011000000000000000e+03
3.000000000000000000e+01,7.090000000000000568e+01,2.150000000000000000e+01,7.509999999999999432e+01,8.500000000000000000e+01,5.020000000000000284e+01,7.379999999999999716e+01,2.651800000000000000e+04,7.299999999999999822e+00,2.011000000000000000e+03
3.200000000000000000e+01,5.979999999999999716e+01,3.160000000000000142e+01,7.629999999999999716e+01,9.079999999999999716e+01,5.179999999999999716e+01,7.320000000000000284e+01,2.723300000000000000e+04,6.500000000000000000e+00,2.011000000000000000e+03
3.300000000000000000e+01,6.809999999999999432e+01,5.589999999999999858e+01,8.090000000000000568e+01,7.290000000000000568e+01,5.000000000000000000e+01,7.300000000000000000e+01,4.272700000000000000e+04,1.869999999999999929e+01,2.011000000000000000e+03
3.400000000000000000e+01,6.550000000000000000e+01,9.779999999999999716e+01,7.259999999999999432e+01,7.870000000000000284e+01,4.050000000000000000e+01,7.290000000000000568e+01,3.159200000000000000e+04,1.550000000000000000e+01,2.011000000000000000e+03
3.500000000000000000e+01,6.900000000000000000e+01,8.590000000000000568e+01,7.490000000000000568e+01,6.900000000000000000e+01,5.000000000000000000e+01,7.170000000000000284e+01,3.132600000000000000e+04,1.369999999999999929e+01,2.011000000000000000e+03
3.600000000000000000e+01,5.870000000000000284e+01,8.800000000000000000e+01,6.920000000000000284e+01,8.329999999999999716e+01,4.770000000000000284e+01,7.100000000000000000e+01,4.012800000000000000e+04,2.369999999999999929e+01,2.011000000000000000e+03
3.900000000000000000e+01,5.789999999999999858e+01,7.790000000000000568e+01,5.610000000000000142e+01,9.140000000000000568e+01,5.000000000000000000e+01,6.950000000000000000e+01,2.429000000000000000e+03,4.799999999999999822e+00,2.011000000000000000e+03
4.000000000000000000e+01,5.989999999999999858e+01,6.729999999999999716e+01,6.189999999999999858e+01,8.679999999999999716e+01,4.220000000000000284e+01,6.920000000000000284e+01,2.577400000000000000e+04,1.409999999999999964e+01,2.011000000000000000e+03
4.200000000000000000e+01,6.679999999999999716e+01,4.489999999999999858e+01,4.820000000000000284e+01,9.570000000000000284e+01,3.069999999999999929e+01,6.859999999999999432e+01,2.400000000000000000e+03,7.900000000000000355e+00,2.011000000000000000e+03
4.300000000000000000e+01,5.189999999999999858e+01,9.390000000000000568e+01,6.239999999999999858e+01,8.100000000000000000e+01,5.000000000000000000e+01,6.700000000000000000e+01,1.460400000000000000e+04,1.919999999999999929e+01,2.011000000000000000e+03
4.300000000000000000e+01,6.579999999999999716e+01,5.000000000000000000e+01,7.270000000000000284e+01,6.229999999999999716e+01,7.329999999999999716e+01,6.700000000000000000e+01,7.774000000000000000e+03,1.150000000000000000e+01,2.011000000000000000e+03
4.300000000000000000e+01,5.729999999999999716e+01,4.450000000000000000e+01,5.589999999999999858e+01,9.250000000000000000e+01,3.169999999999999929e+01,6.700000000000000000e+01,2.558100000000000000e+04,2.560000000000000142e+01,2.011000000000000000e+03
4.700000000000000000e+01,5.739999999999999858e+01,3.119999999999999929e+01,5.060000000000000142e+01,9.909999999999999432e+01,2.919999999999999929e+01,6.690000000000000568e+01,6.333000000000000000e+03,9.000000000000000000e+00,2.011000000000000000e+03
4.800000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+02,5.610000000000000142e+01,8.379999999999999716e+01,3.800000000000000000e+01,6.650000000000000000e+01,9.666000000000000000e+03,1.050000000000000000e+01,2.011000000000000000e+03
4.900000000000000000e+01,4.939999999999999858e+01,6.629999999999999716e+01,5.470000000000000284e+01,9.159999999999999432e+01,5.000000000000000000e+01,6.600000000000000000e+01,2.661400000000000000e+04,1.610000000000000142e+01,2.011000000000000000e+03
5.100000000000000000e+01,6.490000000000000568e+01,2.210000000000000142e+01,5.950000000000000000e+01,7.809999999999999432e+01,8.420000000000000284e+01,6.590000000000000568e+01,1.216100000000000000e+04,3.600000000000000089e+00,2.011000000000000000e+03
5.200000000000000000e+01,5.760000000000000142e+01,2.300000000000000000e+01,6.909999999999999432e+01,7.640000000000000568e+01,5.000000000000000000e+01,6.559999999999999432e+01,4.682500000000000000e+04,1.800000000000000000e+01,2.011000000000000000e+03
