x,y
1.000000000000000000e+00,4.241558774005136812e+00
2.000000000000000000e+00,1.325479678347499135e+00
3.000000000000000000e+00,1.152810592564792236e+00
4.000000000000000000e+00,1.006241466341249113e+00
5.000000000000000000e+00,8.974382777040998960e-01
6.000000000000000000e+00,5.905018875852849902e-01
7.000000000000000000e+00,4.812754283143543255e-01
8.000000000000000000e+00,2.043244763785346529e-01
9.000000000000000000e+00,7.537758037966710289e-02
1.000000000000000000e+01,2.499183837938764169e-02
