student_staff_ratio,num_students,total_score,income
6.9,2243,96,83.7
9,11074,95.6,87.5
7.8,15596,94.3,64.3
8.4,7929,94.2,50
11.8,18812,91.2,57
11.6,19919,91.2,73.5
16.4,36186,91.1,50
11.7,15060,90.6,92.9
4.4,11751,89.5,50
10.3,38206,87.7,50
6.9,14221,86.9,50
3.6,15128,86.4,100
10.2,21424,83.9,34.7
14.7,18178,83.4,50
9,41786,83.4,59.6
6.5,20376,79.5,43.7
13.1,11885,79.3,53.7
17.6,19835,79.2,56.5
10.7,26607,78.4,39
11.8,44020,78,32.8
4.8,15172,76.5,100
13.8,18334,75.9,50
20.1,19967,75.3,95.1
10.1,3055,75.1,100
27.3,22020,75,89.8
17.6,50152,73.8,42.6
7.3,26518,73.8,50.2
6.5,27233,73.2,51.8
18.7,42727,73,50
15.5,31592,72.9,40.5
13.7,31326,71.7,50
23.7,40128,71,47.7
4.8,2429,69.5,50
14.1,25774,69.2,42.2
7.9,2400,68.6,30.7
19.2,14604,67,50
11.5,7774,67,73.3
25.6,25581,67,31.7
9,6333,66.9,29.2
10.5,9666,66.5,38
16.1,26614,66,50
3.6,12161,65.9,84.2
18,46825,65.6,50
10,10410,65.2,50
13.9,35364,65,48
13,56959,64.7,53.9
13.7,39763,64.2,97.8
8.6,24789,64,29.6
6.8,42056,63.9,50
4.5,12338,63,50
15.5,35691,63,40.4
13.8,11829,62.8,50
5.8,26485,62.7,37.9
6.4,9259,62.2,50
13.4,51462,62.1,50
16.1,29325,61.6,50
14,17906,61.4,36.2
22.7,17404,61.4,50
5.5,6753,61.4,50
20.2,41868,61.2,90.8
10.2,23845,61.1,50
30.1,20771,60.7,52.7
12.9,36534,60.7,50
11.8,7867,60.4,50
18,15521,60.3,31.6
11.4,21394,59.7,44.1
10.9,21908,59.6,50
10,9027,59.5,100
17.4,12001,59.5,29.1
32.7,34718,59.1,57.1
24.5,28881,59,39.1
16.9,25674,59,50
15.7,15489,58.9,33.9
15.3,34938,58,39
15.9,8747,57.9,30.5
13.5,20925,57.7,37.7
6.5,26583,57.7,43.8
4.6,7326,57.7,50
19.3,23823,57.6,50
12,20541,57.3,50
12.7,36429,57.3,84.2
17.3,12551,57.3,45.8
8.4,31331,57.2,50
6.6,6178,57.1,50
8,2218,57,26.1
31.5,35565,56.9,50
15.1,23505,56.6,30.2
12.7,8338,56.5,32.6
15,6671,56.4,50
17.3,37032,56.3,50
18.1,39256,56.2,50
13.5,10221,56.1,50.2
12.1,20040,56.1,50
12.4,44501,56,44
11,10441,55.6,26.7
7.3,9586,55.4,60.5
16,8176,55.3,99.8
11.9,31891,55.2,35.7
22,20626,55.1,30.5
15,15668,55,32.7
41.9,42503,54.8,97.7
13.3,29743,54.6,43.4
14,14260,54.6,38.9
15.7,44750,54.5,50
5,9990,54.5,95.5
34.1,32166,54.4,97.1
14.9,11512,54.4,28.8
17.1,21222,54.4,100
21.6,36299,54.3,44.5
16,22616,54.2,61
23.7,31715,54,31.7
7.8,23144,53.4,73.4
21.5,17581,53.4,27.4
5,17200,53.3,82.3
31.2,26467,53.3,79.8
11.6,27526,53.3,50
11.1,11623,52.7,41.5
15.5,23311,52.5,40.3
20.3,38264,52.4,50
16.3,23280,52.3,81.4
8.7,27862,52.2,26.4
15.3,11628,52.2,49.3
12.2,47491,52.1,30
15.4,30779,52,55.3
17,9248,51.9,50
18.9,29787,51.8,61.1
16.4,25295,51.8,34.8
23.3,127431,51.6,36
18.2,25266,51.6,39.5
25.9,22064,51.4,57.2
15.8,12938,51.4,47
19.4,15920,51.3,99.4
17.2,9454,51.2,27.4
15.2,20174,51.2,31.1
25.9,38309,51.2,60
18.3,10901,51.1,40
13.6,62468,51,50
